PlayerName
Emilio Pagan
Pedro Pagés
Richie Palacios
Daniel Palencia
Andre Pallante
Isaac Paredes
Mitchell Parker
Wes Parsons
Vinnie Pasquantino
Graham Pauley
James Paxton
Joel Payamps
Nate Pearson
Joc Pederson
Elvis Peguero
Ryan Pepiot
Freddy Peralta
Wandy Peralta
Geraldo Perdomo
Jhonny Pereda
Salvador Perez
Blake Perkins
Jace Peterson
Jeremy Peña
Brandon Pfaadt
Evan Phillips
Kevin Pillar
René Pinto
Ricardo Pinto
Nick Pivetta
Colin Poche
Jorge Polanco
Cody Poteet
Ryan Pressly
Jurickson Profar
Austin Pruitt
A.J. Puk
Cionel Pérez
Martín Pérez
Wenceel Pérez
Cal Quantrill
Jose Quintana
Ceddanne Rafaela
Cole Ragans
Tanner Rainey
Cal Raleigh
Brooks Raley
Luke Raley
Nick Ramirez
Harold Ramírez
José Ramírez
Yohan Ramírez
Colin Rea
J.T. Realmuto
Zach Remillard
Anthony Rendon
Hunter Renfroe
Luis Rengifo
Pablo Reyes
Bryan Reynolds
Trevor Richards
Austin Riley
Emmanuel Rivera
Anthony Rizzo
Luis Robert Jr
David Robertson
Victor Robles
Brayan Rocchio
Brendan Rodgers
Grayson Rodriguez
Yariel Rodríguez
Joely Rodríguez
Julio Rodríguez
Yerry Rodríguez
Carlos Rodón
Jake Rogers
Taylor Rogers
Trevor Rogers
Tyler Rogers
Johan Rojas
Josh Rojas
Miguel Rojas
Jordan Romano
JoJo Romero
Brent Rooker
Ben Rortvedt
Eddie Rosario
Eguy Rosario
Amed Rosario
Joe Ross
Landen Roupp
Esteury Ruiz
Keibert Ruiz
Adley Rutschman
Joe Ryan
Ryder Ryan
Chris Sale
Nick Sandlin
Patrick Sandoval
Cole Sands
Carlos Santana
Dennis Santana
Anthony Santander
Miguel Sanó
Tayler Saucedo
Matt Sauer
Josh Sborz
Nolan Schanuel
Clarke Schmidt
Davis Schneider
John Schreiber
